tagnum,Easting,Northing,elevation
%d,%f,%f,%f
230500,653448.7018,4859055.955,105.249203
230502,653447.2734,4859057.582,105.368206
230503,653422.7417,4859063.646,105.0825
230507,653423.5571,4859061.085,105.134883
230513,653447.1228,4859056.497,105.250076
230529,653448.4781,4859055.818,105.281142
230544,653445.0949,4859056.254,105.085492
230549,653445.3918,4859056.949,105.080246
230555,653450.5815,4859055.173,105.243957
230556,653443.535,4859056.202,105.05335
230558,653421.0661,4859066.14,105.155265
230564,653445.417,4859056.072,105.099627
230565,653421.3302,4859063.827,105.091561
230569,653443.0969,4859056.579,105.077867
230570,653418.7628,4859068.652,105.007213
230575,653421.4286,4859067.335,105.03036
230578,653448.2337,4859056.939,105.205555
230579,653448.1221,4859054.965,105.211853
230594,653422.6972,4859061.097,105.152837
230627,653421.0721,4859065.012,105.061557
230628,653420.1263,4859067.487,105.050897
230633,653444.7081,4859056.83,105.08622
230634,653446.9522,4859057.589,105.40972
230641,653446.5722,4859055.088,105.187955
230643,653450.6104,4859055.947,105.317465
230644,653422.9722,4859064.59,105.01763
230653,653442.3673,4859056.603,105.089744
230657,653422.9592,4859064.098,104.99868
230659,653448.3371,4859056.301,105.22344
230661,653422.933,4859060.25,105.080902
230662,653419.8317,4859068.22,105.08115
230668,653450.0946,4859055.398,105.276123
230670,653449.3634,4859055.2,105.205716
230684,653422.6047,4859062.371,105.195888
230687,653441.3186,4859055.654,105.112114
230691,653447.4244,4859057.156,105.21824
230697,653447.2921,4859055.516,105.183997
230698,653422.7313,4859064.962,105.041336
230712,653423.2332,4859063.859,105.037778
230732,653444.3273,4859054.609,105.234517
230739,653443.8011,4859055.232,105.15156
230741,653419.9502,4859067.919,105.061583
230755,653421.4219,4859062.801,105.163081
230763,653422.0292,4859065.039,105.040176
230772,653449.0158,4859057.558,105.264798
230781,653448.6342,4859056.471,105.388398
230783,653442.3334,4859056.285,105.081984
230786,653421.6452,4859063.499,105.111861
230789,653446.5412,4859055.556,105.219519
230797,653421.2019,4859065.9,105.139366
230799,653423.4341,4859060.411,105.08672
230800,653420.4518,4859067.179,105.100843
230803,653422.1766,4859060.829,105.067815
230806,653447.9606,4859056.795,105.283192
230809,653443.457,4859056.552,105.033162
230824,653419.0457,4859068.237,105.019151
230825,653422.7279,4859061.879,105.196534
230826,653420.4357,4859068.668,105.078163
230829,653441.1484,4859054.421,105.177267
230830,653441.2249,4859056.477,105.109415
230838,653441.8322,4859054.986,105.108602
230844,653442.6996,4859054.769,105.087688
230852,653420.5112,4859066.835,105.095675
230853,653442.9051,4859056.277,105.052087
230854,653448.9833,4859058.078,105.286954
230855,653447.5178,4859056.095,105.220842
230857,653441.0164,4859055.019,105.154562
230867,653444.3641,4859055.999,105.073114
230869,653441.9198,4859054.723,105.103575
230895,653419.6927,4859068.697,105.02398
230897,653445.3007,4859055.248,105.246942
230901,653421.7957,4859066.603,104.994594
230903,653420.276,4859066.08,105.023429
230912,653442.2598,4859054.28,105.078261
230914,653445.948,4859056.136,105.197179
230923,653421.3982,4859064.311,105.071914
230933,653448.8266,4859056.159,105.320459
230935,653422.2518,4859065.995,105.040859
230942,653443.1524,4859054.386,105.172894
230943,653423.2545,4859062.167,105.127803
230944,653422.2566,4859064.254,105.094186
230947,653421.4298,4859065.99,105.087909
230950,653449.3259,4859056.421,105.370037
230952,653420.6787,4859067.235,105.10848
230953,653421.7976,4859062.888,105.174024
230956,653446.7271,4859055.655,105.22356
230958,653420.5935,4859065.819,105.052788
230960,653446.5648,4859056.273,105.189274
230963,653441.3492,4859054.828,105.153887
230966,653419.008,4859068.779,105.058402
230984,653444.1572,4859055.516,105.125272
230986,653446.9495,4859054.862,105.189583
230990,653422.2576,4859062.313,105.192259
231003,653446.1057,4859056.921,105.124534
231020,653419.27,4859068.393,105.06499
231021,653423.0614,4859060.876,105.117795
231029,653419.2435,4859068.834,105.029933
231041,653448.7969,4859055.306,105.233264
231042,653419.8194,4859067.831,105.098277
231044,653419.682,4859067.701,105.058347
231053,653421.6395,4859064.92,105.04825
231054,653421.2513,4859063.009,105.114358
231057,653423.1249,4859062.938,105.075469
231062,653444.899,4859055.078,105.235096
231067,653442.2933,4859054.579,105.086088
231078,653419.4097,4859066.593,104.911882
231084,653418.7778,4859067.634,104.964654
231105,653443.4969,4859055.157,105.19364
231126,653420.4867,4859066.284,105.081643
231130,653422.4181,4859062.757,105.170086
231131,653420.7773,4859066.505,105.151743
231133,653422.5906,4859065.294,105.039291
231134,653420.2502,4859066.603,105.063297
